834	1	0
179	10	0
873	1	0
788	1	1
230	2	0
592	9	0
512	9	0
472	9	0
883	2	1
944	6	0
832	10	1
90	10	1
520	2	0
317	8	1
690	0	0
486	6	1
659	8	1
232	10	1
682	2	0
446	0	1
246	2	1
849	7	0
34	5	0
840	3	0
343	6	0
184	9	1
549	2	1
122	4	0
989	9	0
456	3	1
523	3	1
190	5	0
461	0	0
851	2	1
62	5	0
301	5	0
545	1	1
450	1	0
91	3	0
827	10	0
585	7	1
85	10	0
752	6	0
191	2	0
655	4	1
843	7	1
874	5	1
190	9	0
635	6	0
587	7	0
790	2	0
213	8	1
718	9	0
828	0	1
6	8	0
473	2	0
812	10	0
98	3	1
16	9	0
175	3	1
719	3	1
81	3	1
557	5	0
113	4	0
306	8	1
488	0	1
158	10	0
596	0	1
167	5	0
572	6	1
436	10	0
926	9	1
224	3	1
258	4	1
675	5	1
990	10	1
209	10	1
367	0	1
868	2	1
191	4	0
14	0	1
475	5	1
303	9	0
17	10	0
130	10	0
166	1	0
871	5	0
329	1	0
171	8	1
734	5	1
571	8	1
233	10	0
548	5	0
307	10	0
555	10	0
533	5	1
839	1	1
491	6	0
46	8	0
432	1	0
930	1	1
760	5	1
626	6	0
481	2	0
495	4	0
626	5	1
554	4	0
570	10	1
234	3	0
527	5	1
437	10	1
470	1	1
561	0	0
873	3	1
71	5	0
233	4	1
202	7	1
706	7	0
872	9	1
79	2	1
683	9	0
588	3	1
525	5	1
654	3	0
382	8	1
201	1	0
798	10	1
784	0	1
428	7	1
880	4	1
971	4	0
532	9	0
872	1	1
587	2	0
35	8	0
462	4	0
198	0	0
891	0	0
327	5	0
453	9	0
267	1	0
806	0	1
786	6	0
285	9	0
248	8	0
683	6	0
108	1	0
366	0	1
582	0	1
251	4	0
357	9	0
776	0	1
881	3	1
604	0	1
847	6	1
839	4	0
343	9	1
158	5	1
326	10	1
574	3	0
396	2	1
511	9	1
696	4	1
541	2	0
298	5	0
499	9	0
948	7	1
565	4	1
791	5	1
428	7	1
216	0	1
595	1	1
349	10	1
211	1	1
972	3	1
69	4	0
605	8	0
819	8	1
617	0	1
601	10	1
452	1	1
707	5	1
198	6	1
844	0	1
482	1	1
962	1	1
460	9	0
145	5	1
202	8	1
771	8	0
593	8	1
163	8	0
888	4	0
683	10	0
597	10	1
0	3	1
312	8	1
673	2	1
